X,GID,P1,P2,TraitBLUE,Year,CV
10688,SL18-CC-5-FG3xSA18-CB-1-MG12,SL18-CC-5-FG3,SA18-CB-1-MG12,0.143213095,2020,9
10770,SL18-CC-5-FG3xSL18-JS-19-MG2,SL18-CC-5-FG3,SL18-JS-19-MG2,0.037278193,2020,4
10772,SL18-CC-5-FG3xSL18-JS-5-MG2,SL18-CC-5-FG3,SL18-JS-5-MG2,0.071890048,2020,7
10856,SL18-CC-5-FG3xSL18-OI-14-MG1,SL18-CC-5-FG3,SL18-OI-14-MG1,1.242386292,2020,8
11046,SL18-CC-6-FG1xSL18-JS-5-MG2,SL18-CC-6-FG1,SL18-JS-5-MG2,-0.046619219,2020,1
11403,SL18-CC-6-FG2xSL18-OI-11-MG4,SL18-CC-6-FG2,SL18-OI-11-MG4,0.258002904,2020,6
11404,SL18-CC-6-FG2xSL18-OI-14-MG1,SL18-CC-6-FG2,SL18-OI-14-MG1,0.135763131,2020,1
11600,SL18-CC-6-FG3xSL18-JS-9-MG2,SL18-CC-6-FG3,SL18-JS-9-MG2,-0.105662681,2020,9
11679,SL18-CC-6-FG3xSL18-OI-14-MG2,SL18-CC-6-FG3,SL18-OI-14-MG2,0.039813492,2020,7
11914,SL18-CC-8-FG1xSL18-NC-8-MG2,SL18-CC-8-FG1,SL18-NC-8-MG2,-0.110325581,2020,5
11963,SL18-CC-8-FG1xSL18-OI-18-MG3,SL18-CC-8-FG1,SL18-OI-18-MG3,0.080624668,2020,2
11973,SL18-CC-8-FG1xSL18-OI-7-MG1,SL18-CC-8-FG1,SL18-OI-7-MG1,-0.143269966,2020,3
12143,SL18-CC-8-FG2xSL18-JS-5-MG3,SL18-CC-8-FG2,SL18-JS-5-MG3,1.293379007,2020,10
12164,SL18-CC-8-FG2xSL18-LD-9-MG1,SL18-CC-8-FG2,SL18-LD-9-MG1,0.369337852,2020,5
12186,SL18-CC-8-FG2xSL18-NC-5-MG3,SL18-CC-8-FG2,SL18-NC-5-MG3,-0.196100125,2020,7
12697,SL18-CC-9-FG3xSL18-JS-9-MG3,SL18-CC-9-FG3,SL18-JS-9-MG3,0.011200559,2020,1
20603,SL18-JS-16-FG1xSL18-CC-4-MG11,SL18-JS-16-FG1,SL18-CC-4-MG11,-0.151354841,2020,10
20652,SL18-JS-16-FG1xSL18-LD-2-MG2,SL18-JS-16-FG1,SL18-LD-2-MG2,-0.215034662,2020,4
20839,SL18-JS-16-FG3xSA18-CB-4-MG3,SL18-JS-16-FG3,SA18-CB-4-MG3,-0.220389804,2020,1
20941,SL18-JS-16-FG3xSL18-NC-10-MG3,SL18-JS-16-FG3,SL18-NC-10-MG3,0.081228695,2020,5
20988,SL18-JS-16-FG3xSL18-OD-6-MG2,SL18-JS-16-FG3,SL18-OD-6-MG2,-0.032440562,2020,6
21104,SL18-JS-19-FG2xSA18-CB-10-MG3,SL18-JS-19-FG2,SA18-CB-10-MG3,0.096386523,2020,1
21383,SL18-JS-19-FG3xSA18-CB-3-MG2,SL18-JS-19-FG3,SA18-CB-3-MG2,-0.088507194,2020,1
21472,SL18-JS-19-FG3xSL18-LD-13-MG3,SL18-JS-19-FG3,SL18-LD-13-MG3,0.035153551,2020,4
21550,SL18-JS-19-FG3xSL18-OI-17-MG1,SL18-JS-19-FG3,SL18-OI-17-MG1,-0.129762876,2020,3
22196,SL18-JS-5-FG1xSA18-CB-1-MG12,SL18-JS-5-FG1,SA18-CB-1-MG12,-0.246608951,2020,3
